settlement_date,settlement_period,fuel_type,source,generation_mw
2026-06-11,39,WIND,elexon,12061
2026-06-11,39,WIND,neso,11479.0
2026-06-11,40,WIND,elexon,11732
2026-06-11,40,WIND,neso,11014.0
2026-06-11,41,WIND,elexon,11479
2026-06-11,41,WIND,neso,11113.0
2026-06-11,42,WIND,elexon,11014
2026-06-11,42,WIND,neso,11527.0
2026-06-11,43,WIND,elexon,11113
2026-06-11,43,WIND,neso,12245.0
2026-06-11,44,WIND,elexon,11527
2026-06-11,44,WIND,neso,12973.0
2026-06-11,45,WIND,elexon,12245
2026-06-11,45,WIND,neso,13370.0
2026-06-11,46,WIND,elexon,12973
2026-06-11,46,WIND,neso,12965.0
2026-06-11,47,WIND,elexon,13370
2026-06-11,47,WIND,neso,13029.0
2026-06-11,48,WIND,elexon,12965
2026-06-11,48,WIND,neso,12693.0
2026-06-12,1,WIND,elexon,13029
2026-06-12,1,WIND,neso,12561.0
2026-06-12,2,WIND,elexon,12693
2026-06-12,2,WIND,neso,12556.0
2026-06-12,3,WIND,elexon,12561
2026-06-12,3,WIND,neso,12579.0
2026-06-12,4,WIND,elexon,12556
2026-06-12,4,WIND,neso,12506.0
2026-06-12,5,WIND,elexon,12579
2026-06-12,5,WIND,neso,12410.0
2026-06-12,6,WIND,elexon,12506
2026-06-12,6,WIND,neso,12353.0
2026-06-12,7,WIND,elexon,12410
2026-06-12,7,WIND,neso,12414.0
2026-06-12,8,WIND,elexon,12353
2026-06-12,8,WIND,neso,12110.0
2026-06-12,9,WIND,elexon,12414
2026-06-12,9,WIND,neso,11750.0
2026-06-12,10,WIND,elexon,12110
2026-06-12,10,WIND,neso,11522.0
2026-06-12,11,WIND,elexon,11750
2026-06-12,11,WIND,neso,11511.0
2026-06-12,12,WIND,elexon,11522
2026-06-12,12,WIND,neso,10647.0
2026-06-12,13,WIND,elexon,11511
2026-06-12,13,WIND,neso,10586.0
2026-06-12,14,WIND,elexon,10647
2026-06-12,14,WIND,neso,9943.0
2026-06-12,15,WIND,elexon,10586
2026-06-12,15,WIND,neso,9429.0
2026-06-12,16,WIND,elexon,9943
2026-06-12,16,WIND,neso,9113.0
2026-06-12,17,WIND,elexon,9429
2026-06-12,17,WIND,neso,9105.0
2026-06-12,18,WIND,elexon,9113
2026-06-12,18,WIND,neso,9739.0
2026-06-12,19,WIND,elexon,9105
